Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity
0,Monday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
0,Monday,31-50,Male,High school,Employee,Above 10yr,Public (> 45 seats),Owner,Two way,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
0,Monday,18-30,Male,High school,Employee,1-5 yr,Dry 2,Owner,Unknown,Unknown,No junction,Asphalt,Dry,Daylight,Normal,Collision with roadside objects,2,Going straight,Not a Pedestrian,Changing lane,Serious Injury
1,Sunday,18-30,Male,High school,Employee,5-10yr,Public (> 45 seats),Governmental,Unknown,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Changing lane,Slight Injury
1,Sunday,18-30,Male,High school,Employee,1-5 yr,Unknown,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,Going straight,Not a Pedestrian,Overtaking,Slight Injury
0,Wednesday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,Crossing,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,1,Moving Backward,Not a Pedestrian,Unknown,Slight Injury
0,Friday,18-30,Male,High school,Employee,1-5 yr,Auto,Governmental,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Vehicle with vehicle collision,2,U-Turn,Not a Pedestrian,No priority to vehicle,Slight Injury
0,Friday,18-30,Male,High school,Employee,Above 10yr,Dry 2,Owner,Unknown,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,Going straight,Pedestrian,Changing lane,Slight Injury
0,Friday,18-30,Male,High school,Employee,1-5 yr,Auto,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,U-Turn,Not a Pedestrian,Moving Backward,Serious Injury
2,Saturday,18-30,Male,High school,Owner,1-5 yr,Public (13?45 seats),Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Turnover,Not a Pedestrian,Changing lane,Serious Injury
2,Saturday,31-50,Male,High school,Employee,No Licence,Auto,Owner,Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,Going straight,Not a Pedestrian,No priority to pedestrian,Serious Injury
0,Thursday,18-30,Male,High school,Employee,1-5 yr,Public (> 45 seats),Owner,Two way,Escarpments,No junction,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Going straight,Not a Pedestrian,No distancing,Slight Injury
0,Thursday,31-50,Male,High school,Employee,5-10yr,Dry 2,Owner,Unknown,Tangent road with flat terrain,No junction,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Waiting to go,Not a Pedestrian,No priority to vehicle,Slight Injury
0,Thursday,31-50,Male,High school,Employee,Above 10yr,Auto,Owner,Two way,Escarpments,No junction,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Going straight,Not a Pedestrian,No distancing,Serious Injury
1,Monday,18-30,Female,High school,Employee,Above 10yr,Dry 1,Owner,One way,Tangent road with flat terrain,Y Shape,Asphalt,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,Going straight,Not a Pedestrian,No distancing,Serious Injury
1,Monday,18-30,Male,High school,Owner,5-10yr,Public (13?45 seats),Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,Going straight,Not a Pedestrian,Moving Backward,Slight Injury
1,Monday,18-30,Male,Elementary school,Employee,1-5 yr,Public (13?45 seats),Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,Going straight,Not a Pedestrian,Changing lane,Serious Injury
1,Monday,18-30,Male,High school,Employee,1-5 yr,Unknown,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,Moving Backward,Not a Pedestrian,No priority to pedestrian,Slight Injury
3,Tuesday,18-30,Male,High school,Employee,Below 1yr,Dry 2,Owner,One way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Going straight,Not a Pedestrian,Moving Backward,Serious Injury
3,Tuesday,Under 18,Male,High school,Employee,1-5 yr,Dry 2,Owner,One way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Collision with animals,2,Going straight,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury
2,Thursday,18-30,Male,High school,Employee,1-5 yr,Dry 1,Owner,Two way,Tangent road with flat terrain,Crossing,Asphalt,Dry,Daylight,Normal,Collision with animals,1,Moving Backward,Not a Pedestrian,Overtaking,Serious Injury
2,Thursday,18-30,Male,Elementary school,Employee,5-10yr,Dry 2,Owner,Unknown,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Unknown,2,Getting off,Not a Pedestrian,Overloading,Serious Injury
2,Thursday,31-50,Male,High school,Employee,Above 10yr,Public 1,Owner,Two way,Tangent road with flat terrain,Y Shape,Asphalt,Dry,Daylight,Normal,Rollover,2,Reversing,Not a Pedestrian,Changing lane,Serious Injury
